,Status,Levels,Rooms,Materials,Engagement,labels,source
1797,unlivable displaced,no,3 rooms,contents (personal belongings),contractor,FS,electrical
1798,unlivable displaced,no,3 rooms,contents (personal belongings),attorney,FS,electrical
1799,unlivable displaced,no,3 rooms,contents (personal belongings),public adjuster,FS,electrical
1800,unlivable displaced,no,3 rooms,roof,no,CCC,electrical
1801,unlivable displaced,no,3 rooms,roof,contractor,FS,electrical
1802,unlivable displaced,no,3 rooms,roof,attorney,FS,electrical
1803,unlivable displaced,no,3 rooms,roof,public adjuster,FS,electrical
1804,unlivable displaced,no,3 rooms,siding,no,CCC,electrical
1805,unlivable displaced,no,3 rooms,siding,contractor,FS,electrical
1806,unlivable displaced,no,3 rooms,siding,attorney,FS,electrical
1807,unlivable displaced,no,3 rooms,siding,public adjuster,FS,electrical
1808,unlivable displaced,no,3 rooms,hardscapes / fence,no,CCC,electrical
1809,unlivable displaced,no,3 rooms,hardscapes / fence,contractor,FS,electrical
1810,unlivable displaced,no,3 rooms,hardscapes / fence,attorney,FS,electrical
1811,unlivable displaced,no,3 rooms,hardscapes / fence,public adjuster,FS,electrical
1812,unlivable displaced,no,3 rooms,windows,no,CCC,electrical
1813,unlivable displaced,no,3 rooms,windows,contractor,FS,electrical
1814,unlivable displaced,no,3 rooms,windows,attorney,FS,electrical
1815,unlivable displaced,no,3 rooms,windows,public adjuster,FS,electrical
1816,unlivable displaced,no,3 rooms,exterior structure,no,CCC,electrical
1817,unlivable displaced,no,3 rooms,exterior structure,contractor,FS,electrical
1818,unlivable displaced,no,3 rooms,exterior structure,attorney,FS,electrical
1819,unlivable displaced,no,3 rooms,exterior structure,public adjuster,FS,electrical
1820,unlivable displaced,no,3 rooms,"exterior contents (grill, patio furniture, etc.)",no,CCC,electrical
1821,unlivable displaced,no,3 rooms,"exterior contents (grill, patio furniture, etc.)",contractor,FS,electrical
1822,unlivable displaced,no,3 rooms,"exterior contents (grill, patio furniture, etc.)",attorney,FS,electrical
1823,unlivable displaced,no,3 rooms,"exterior contents (grill, patio furniture, etc.)",public adjuster,FS,electrical
1824,unlivable displaced,no,4 rooms,no,no,CCC,electrical
1825,unlivable displaced,no,4 rooms,no,contractor,FS,electrical
1826,unlivable displaced,no,4 rooms,no,attorney,FS,electrical
1827,unlivable displaced,no,4 rooms,no,public adjuster,FS,electrical
1828,unlivable displaced,no,4 rooms,floors,no,CCC,electrical
1829,unlivable displaced,no,4 rooms,floors,contractor,FS,electrical
1830,unlivable displaced,no,4 rooms,floors,attorney,FS,electrical
1831,unlivable displaced,no,4 rooms,floors,public adjuster,FS,electrical
1832,unlivable displaced,no,4 rooms,walls,no,CCC,electrical
1833,unlivable displaced,no,4 rooms,walls,contractor,FS,electrical
1834,unlivable displaced,no,4 rooms,walls,attorney,FS,electrical
1835,unlivable displaced,no,4 rooms,walls,public adjuster,FS,electrical
1836,unlivable displaced,no,4 rooms,ceiling,no,CCC,electrical
1837,unlivable displaced,no,4 rooms,ceiling,contractor,FS,electrical
1838,unlivable displaced,no,4 rooms,ceiling,attorney,FS,electrical
1839,unlivable displaced,no,4 rooms,ceiling,public adjuster,FS,electrical
1840,unlivable displaced,no,4 rooms,cabinets,no,CCC,electrical
1841,unlivable displaced,no,4 rooms,cabinets,contractor,FS,electrical
1842,unlivable displaced,no,4 rooms,cabinets,attorney,FS,electrical
1843,unlivable displaced,no,4 rooms,cabinets,public adjuster,FS,electrical
1844,unlivable displaced,no,4 rooms,contents (personal belongings),no,CCC,electrical
1845,unlivable displaced,no,4 rooms,contents (personal belongings),contractor,FS,electrical
1846,unlivable displaced,no,4 rooms,contents (personal belongings),attorney,FS,electrical
1847,unlivable displaced,no,4 rooms,contents (personal belongings),public adjuster,FS,electrical
1848,unlivable displaced,no,4 rooms,roof,no,CCC,electrical
1849,unlivable displaced,no,4 rooms,roof,contractor,FS,electrical
1850,unlivable displaced,no,4 rooms,roof,attorney,FS,electrical
1851,unlivable displaced,no,4 rooms,roof,public adjuster,FS,electrical
1852,unlivable displaced,no,4 rooms,siding,no,CCC,electrical
1853,unlivable displaced,no,4 rooms,siding,contractor,FS,electrical
1854,unlivable displaced,no,4 rooms,siding,attorney,FS,electrical
1855,unlivable displaced,no,4 rooms,siding,public adjuster,FS,electrical
1856,unlivable displaced,no,4 rooms,hardscapes / fence,no,CCC,electrical
1857,unlivable displaced,no,4 rooms,hardscapes / fence,contractor,FS,electrical
1858,unlivable displaced,no,4 rooms,hardscapes / fence,attorney,FS,electrical
1859,unlivable displaced,no,4 rooms,hardscapes / fence,public adjuster,FS,electrical
1860,unlivable displaced,no,4 rooms,windows,no,CCC,electrical
1861,unlivable displaced,no,4 rooms,windows,contractor,FS,electrical
1862,unlivable displaced,no,4 rooms,windows,attorney,FS,electrical
1863,unlivable displaced,no,4 rooms,windows,public adjuster,FS,electrical
1864,unlivable displaced,no,4 rooms,exterior structure,no,CCC,electrical
1865,unlivable displaced,no,4 rooms,exterior structure,contractor,FS,electrical
1866,unlivable displaced,no,4 rooms,exterior structure,attorney,FS,electrical
1867,unlivable displaced,no,4 rooms,exterior structure,public adjuster,FS,electrical
1868,unlivable displaced,no,4 rooms,"exterior contents (grill, patio furniture, etc.)",no,CCC,electrical
1869,unlivable displaced,no,4 rooms,"exterior contents (grill, patio furniture, etc.)",contractor,FS,electrical
1870,unlivable displaced,no,4 rooms,"exterior contents (grill, patio furniture, etc.)",attorney,FS,electrical
1871,unlivable displaced,no,4 rooms,"exterior contents (grill, patio furniture, etc.)",public adjuster,FS,electrical
1872,unlivable displaced,no,5 or more rooms,no,no,CCC,electrical
1873,unlivable displaced,no,5 or more rooms,no,contractor,FS,electrical
1874,unlivable displaced,no,5 or more rooms,no,attorney,FS,electrical
1875,unlivable displaced,no,5 or more rooms,no,public adjuster,FS,electrical
1876,unlivable displaced,no,5 or more rooms,floors,no,CCC,electrical
1877,unlivable displaced,no,5 or more rooms,floors,contractor,FS,electrical
1878,unlivable displaced,no,5 or more rooms,floors,attorney,FS,electrical
1879,unlivable displaced,no,5 or more rooms,floors,public adjuster,FS,electrical
1880,unlivable displaced,no,5 or more rooms,walls,no,CCC,electrical
1881,unlivable displaced,no,5 or more rooms,walls,contractor,FS,electrical
1882,unlivable displaced,no,5 or more rooms,walls,attorney,FS,electrical
1883,unlivable displaced,no,5 or more rooms,walls,public adjuster,FS,electrical
1884,unlivable displaced,no,5 or more rooms,ceiling,no,CCC,electrical
1885,unlivable displaced,no,5 or more rooms,ceiling,contractor,FS,electrical
1886,unlivable displaced,no,5 or more rooms,ceiling,attorney,FS,electrical
1887,unlivable displaced,no,5 or more rooms,ceiling,public adjuster,FS,electrical
1888,unlivable displaced,no,5 or more rooms,cabinets,no,CCC,electrical
1889,unlivable displaced,no,5 or more rooms,cabinets,contractor,FS,electrical
1890,unlivable displaced,no,5 or more rooms,cabinets,attorney,FS,electrical
1891,unlivable displaced,no,5 or more rooms,cabinets,public adjuster,FS,electrical
1892,unlivable displaced,no,5 or more rooms,contents (personal belongings),no,CCC,electrical
1893,unlivable displaced,no,5 or more rooms,contents (personal belongings),contractor,FS,electrical
1894,unlivable displaced,no,5 or more rooms,contents (personal belongings),attorney,FS,electrical
1895,unlivable displaced,no,5 or more rooms,contents (personal belongings),public adjuster,FS,electrical
1896,unlivable displaced,no,5 or more rooms,roof,no,CCC,electrical
1897,unlivable displaced,no,5 or more rooms,roof,contractor,FS,electrical
1898,unlivable displaced,no,5 or more rooms,roof,attorney,FS,electrical
1899,unlivable displaced,no,5 or more rooms,roof,public adjuster,FS,electrical
1900,unlivable displaced,no,5 or more rooms,siding,no,CCC,electrical
1901,unlivable displaced,no,5 or more rooms,siding,contractor,FS,electrical
1902,unlivable displaced,no,5 or more rooms,siding,attorney,FS,electrical
1903,unlivable displaced,no,5 or more rooms,siding,public adjuster,FS,electrical
1904,unlivable displaced,no,5 or more rooms,hardscapes / fence,no,CCC,electrical
1905,unlivable displaced,no,5 or more rooms,hardscapes / fence,contractor,FS,electrical
1906,unlivable displaced,no,5 or more rooms,hardscapes / fence,attorney,FS,electrical
1907,unlivable displaced,no,5 or more rooms,hardscapes / fence,public adjuster,FS,electrical
1908,unlivable displaced,no,5 or more rooms,windows,no,CCC,electrical
1909,unlivable displaced,no,5 or more rooms,windows,contractor,FS,electrical
1910,unlivable displaced,no,5 or more rooms,windows,attorney,FS,electrical
1911,unlivable displaced,no,5 or more rooms,windows,public adjuster,FS,electrical
1912,unlivable displaced,no,5 or more rooms,exterior structure,no,CCC,electrical
1913,unlivable displaced,no,5 or more rooms,exterior structure,contractor,FS,electrical
1914,unlivable displaced,no,5 or more rooms,exterior structure,attorney,FS,electrical
1915,unlivable displaced,no,5 or more rooms,exterior structure,public adjuster,FS,electrical
1916,unlivable displaced,no,5 or more rooms,"exterior contents (grill, patio furniture, etc.)",no,CCC,electrical
1917,unlivable displaced,no,5 or more rooms,"exterior contents (grill, patio furniture, etc.)",contractor,FS,electrical
1918,unlivable displaced,no,5 or more rooms,"exterior contents (grill, patio furniture, etc.)",attorney,FS,electrical
1919,unlivable displaced,no,5 or more rooms,"exterior contents (grill, patio furniture, etc.)",public adjuster,FS,electrical
1920,livable still in dwelling / building,no,no,no,no,CCC,lightning
1921,livable still in dwelling / building,no,no,no,contractor,FS,lightning
1922,livable still in dwelling / building,no,no,no,attorney,FS,lightning
1923,livable still in dwelling / building,no,no,no,public adjuster,FS,lightning
1924,livable still in dwelling / building,no,no,floors,no,CCC,lightning
1925,livable still in dwelling / building,no,no,floors,contractor,FS,lightning
1926,livable still in dwelling / building,no,no,floors,attorney,FS,lightning
1927,livable still in dwelling / building,no,no,floors,public adjuster,FS,lightning
1928,livable still in dwelling / building,no,no,walls,no,CCC,lightning
1929,livable still in dwelling / building,no,no,walls,contractor,FS,lightning
1930,livable still in dwelling / building,no,no,walls,attorney,FS,lightning
1931,livable still in dwelling / building,no,no,walls,public adjuster,FS,lightning
1932,livable still in dwelling / building,no,no,ceiling,no,CCC,lightning
1933,livable still in dwelling / building,no,no,ceiling,contractor,FS,lightning
1934,livable still in dwelling / building,no,no,ceiling,attorney,FS,lightning
1935,livable still in dwelling / building,no,no,ceiling,public adjuster,FS,lightning
1936,livable still in dwelling / building,no,no,cabinets,no,CCC,lightning
1937,livable still in dwelling / building,no,no,cabinets,contractor,FS,lightning
1938,livable still in dwelling / building,no,no,cabinets,attorney,FS,lightning
1939,livable still in dwelling / building,no,no,cabinets,public adjuster,FS,lightning
1940,livable still in dwelling / building,no,no,contents (personal belongings),no,CCC,lightning
1941,livable still in dwelling / building,no,no,contents (personal belongings),contractor,FS,lightning
1942,livable still in dwelling / building,no,no,contents (personal belongings),attorney,FS,lightning
1943,livable still in dwelling / building,no,no,contents (personal belongings),public adjuster,FS,lightning
1944,livable still in dwelling / building,no,no,roof,no,CCC,lightning
1945,livable still in dwelling / building,no,no,roof,contractor,FS,lightning
1946,livable still in dwelling / building,no,no,roof,attorney,FS,lightning
1947,livable still in dwelling / building,no,no,roof,public adjuster,FS,lightning
1948,livable still in dwelling / building,no,no,siding,no,CCC,lightning
1949,livable still in dwelling / building,no,no,siding,contractor,FS,lightning
1950,livable still in dwelling / building,no,no,siding,attorney,FS,lightning
1951,livable still in dwelling / building,no,no,siding,public adjuster,FS,lightning
1952,livable still in dwelling / building,no,no,hardscapes / fence,no,CCC,lightning
1953,livable still in dwelling / building,no,no,hardscapes / fence,contractor,FS,lightning
1954,livable still in dwelling / building,no,no,hardscapes / fence,attorney,FS,lightning
1955,livable still in dwelling / building,no,no,hardscapes / fence,public adjuster,FS,lightning
1956,livable still in dwelling / building,no,no,windows,no,CCC,lightning
1957,livable still in dwelling / building,no,no,windows,contractor,FS,lightning
1958,livable still in dwelling / building,no,no,windows,attorney,FS,lightning
1959,livable still in dwelling / building,no,no,windows,public adjuster,FS,lightning
1960,livable still in dwelling / building,no,no,exterior structure,no,CCC,lightning
1961,livable still in dwelling / building,no,no,exterior structure,contractor,FS,lightning
1962,livable still in dwelling / building,no,no,exterior structure,attorney,FS,lightning
1963,livable still in dwelling / building,no,no,exterior structure,public adjuster,FS,lightning
1964,livable still in dwelling / building,no,no,"exterior contents (grill, patio furniture, etc.)",no,CCC,lightning
1965,livable still in dwelling / building,no,no,"exterior contents (grill, patio furniture, etc.)",contractor,FS,lightning
1966,livable still in dwelling / building,no,no,"exterior contents (grill, patio furniture, etc.)",attorney,FS,lightning
1967,livable still in dwelling / building,no,no,"exterior contents (grill, patio furniture, etc.)",public adjuster,FS,lightning
1968,livable still in dwelling / building,no,1-2 rooms,no,no,CCC,lightning
1969,livable still in dwelling / building,no,1-2 rooms,no,contractor,FS,lightning
1970,livable still in dwelling / building,no,1-2 rooms,no,attorney,FS,lightning
1971,livable still in dwelling / building,no,1-2 rooms,no,public adjuster,FS,lightning
1972,livable still in dwelling / building,no,1-2 rooms,floors,no,CCC,lightning
1973,livable still in dwelling / building,no,1-2 rooms,floors,contractor,FS,lightning
1974,livable still in dwelling / building,no,1-2 rooms,floors,attorney,FS,lightning
1975,livable still in dwelling / building,no,1-2 rooms,floors,public adjuster,FS,lightning
1976,livable still in dwelling / building,no,1-2 rooms,walls,no,CCC,lightning
1977,livable still in dwelling / building,no,1-2 rooms,walls,contractor,FS,lightning
1978,livable still in dwelling / building,no,1-2 rooms,walls,attorney,FS,lightning
1979,livable still in dwelling / building,no,1-2 rooms,walls,public adjuster,FS,lightning
1980,livable still in dwelling / building,no,1-2 rooms,ceiling,no,CCC,lightning
1981,livable still in dwelling / building,no,1-2 rooms,ceiling,contractor,FS,lightning
1982,livable still in dwelling / building,no,1-2 rooms,ceiling,attorney,FS,lightning
1983,livable still in dwelling / building,no,1-2 rooms,ceiling,public adjuster,FS,lightning
1984,livable still in dwelling / building,no,1-2 rooms,cabinets,no,CCC,lightning
1985,livable still in dwelling / building,no,1-2 rooms,cabinets,contractor,FS,lightning
1986,livable still in dwelling / building,no,1-2 rooms,cabinets,attorney,FS,lightning
1987,livable still in dwelling / building,no,1-2 rooms,cabinets,public adjuster,FS,lightning
1988,livable still in dwelling / building,no,1-2 rooms,contents (personal belongings),no,CCC,lightning
1989,livable still in dwelling / building,no,1-2 rooms,contents (personal belongings),contractor,FS,lightning
1990,livable still in dwelling / building,no,1-2 rooms,contents (personal belongings),attorney,FS,lightning
1991,livable still in dwelling / building,no,1-2 rooms,contents (personal belongings),public adjuster,FS,lightning
1992,livable still in dwelling / building,no,1-2 rooms,roof,no,CCC,lightning
1993,livable still in dwelling / building,no,1-2 rooms,roof,contractor,FS,lightning
1994,livable still in dwelling / building,no,1-2 rooms,roof,attorney,FS,lightning
1995,livable still in dwelling / building,no,1-2 rooms,roof,public adjuster,FS,lightning
1996,livable still in dwelling / building,no,1-2 rooms,siding,no,CCC,lightning
1997,livable still in dwelling / building,no,1-2 rooms,siding,contractor,FS,lightning
1998,livable still in dwelling / building,no,1-2 rooms,siding,attorney,FS,lightning
1999,livable still in dwelling / building,no,1-2 rooms,siding,public adjuster,FS,lightning
2000,livable still in dwelling / building,no,1-2 rooms,hardscapes / fence,no,CCC,lightning
2001,livable still in dwelling / building,no,1-2 rooms,hardscapes / fence,contractor,FS,lightning
2002,livable still in dwelling / building,no,1-2 rooms,hardscapes / fence,attorney,FS,lightning
2003,livable still in dwelling / building,no,1-2 rooms,hardscapes / fence,public adjuster,FS,lightning
2004,livable still in dwelling / building,no,1-2 rooms,windows,no,CCC,lightning
2005,livable still in dwelling / building,no,1-2 rooms,windows,contractor,FS,lightning
2006,livable still in dwelling / building,no,1-2 rooms,windows,attorney,FS,lightning
2007,livable still in dwelling / building,no,1-2 rooms,windows,public adjuster,FS,lightning
2008,livable still in dwelling / building,no,1-2 rooms,exterior structure,no,CCC,lightning
2009,livable still in dwelling / building,no,1-2 rooms,exterior structure,contractor,FS,lightning
2010,livable still in dwelling / building,no,1-2 rooms,exterior structure,attorney,FS,lightning
2011,livable still in dwelling / building,no,1-2 rooms,exterior structure,public adjuster,FS,lightning
2012,livable still in dwelling / building,no,1-2 rooms,"exterior contents (grill, patio furniture, etc.)",no,CCC,lightning
2013,livable still in dwelling / building,no,1-2 rooms,"exterior contents (grill, patio furniture, etc.)",contractor,FS,lightning
2014,livable still in dwelling / building,no,1-2 rooms,"exterior contents (grill, patio furniture, etc.)",attorney,FS,lightning
2015,livable still in dwelling / building,no,1-2 rooms,"exterior contents (grill, patio furniture, etc.)",public adjuster,FS,lightning
2016,livable still in dwelling / building,no,3 rooms,no,no,CCC,lightning
2017,livable still in dwelling / building,no,3 rooms,no,contractor,FS,lightning
2018,livable still in dwelling / building,no,3 rooms,no,attorney,FS,lightning
2019,livable still in dwelling / building,no,3 rooms,no,public adjuster,FS,lightning
2020,livable still in dwelling / building,no,3 rooms,floors,no,CCC,lightning
2021,livable still in dwelling / building,no,3 rooms,floors,contractor,FS,lightning
2022,livable still in dwelling / building,no,3 rooms,floors,attorney,FS,lightning
2023,livable still in dwelling / building,no,3 rooms,floors,public adjuster,FS,lightning
2024,livable still in dwelling / building,no,3 rooms,walls,no,CCC,lightning
2025,livable still in dwelling / building,no,3 rooms,walls,contractor,FS,lightning
2026,livable still in dwelling / building,no,3 rooms,walls,attorney,FS,lightning
2027,livable still in dwelling / building,no,3 rooms,walls,public adjuster,FS,lightning
2028,livable still in dwelling / building,no,3 rooms,ceiling,no,CCC,lightning
2029,livable still in dwelling / building,no,3 rooms,ceiling,contractor,FS,lightning
2030,livable still in dwelling / building,no,3 rooms,ceiling,attorney,FS,lightning
2031,livable still in dwelling / building,no,3 rooms,ceiling,public adjuster,FS,lightning
2032,livable still in dwelling / building,no,3 rooms,cabinets,no,CCC,lightning
2033,livable still in dwelling / building,no,3 rooms,cabinets,contractor,FS,lightning
2034,livable still in dwelling / building,no,3 rooms,cabinets,attorney,FS,lightning
2035,livable still in dwelling / building,no,3 rooms,cabinets,public adjuster,FS,lightning
2036,livable still in dwelling / building,no,3 rooms,contents (personal belongings),no,CCC,lightning
2037,livable still in dwelling / building,no,3 rooms,contents (personal belongings),contractor,FS,lightning
2038,livable still in dwelling / building,no,3 rooms,contents (personal belongings),attorney,FS,lightning
2039,livable still in dwelling / building,no,3 rooms,contents (personal belongings),public adjuster,FS,lightning
2040,livable still in dwelling / building,no,3 rooms,roof,no,CCC,lightning
2041,livable still in dwelling / building,no,3 rooms,roof,contractor,FS,lightning
2042,livable still in dwelling / building,no,3 rooms,roof,attorney,FS,lightning
2043,livable still in dwelling / building,no,3 rooms,roof,public adjuster,FS,lightning
2044,livable still in dwelling / building,no,3 rooms,siding,no,CCC,lightning
2045,livable still in dwelling / building,no,3 rooms,siding,contractor,FS,lightning
2046,livable still in dwelling / building,no,3 rooms,siding,attorney,FS,lightning
2047,livable still in dwelling / building,no,3 rooms,siding,public adjuster,FS,lightning
2048,livable still in dwelling / building,no,3 rooms,hardscapes / fence,no,CCC,lightning
2049,livable still in dwelling / building,no,3 rooms,hardscapes / fence,contractor,FS,lightning
2050,livable still in dwelling / building,no,3 rooms,hardscapes / fence,attorney,FS,lightning
2051,livable still in dwelling / building,no,3 rooms,hardscapes / fence,public adjuster,FS,lightning
2052,livable still in dwelling / building,no,3 rooms,windows,no,CCC,lightning
2053,livable still in dwelling / building,no,3 rooms,windows,contractor,FS,lightning
2054,livable still in dwelling / building,no,3 rooms,windows,attorney,FS,lightning
2055,livable still in dwelling / building,no,3 rooms,windows,public adjuster,FS,lightning
2056,livable still in dwelling / building,no,3 rooms,exterior structure,no,CCC,lightning
2057,livable still in dwelling / building,no,3 rooms,exterior structure,contractor,FS,lightning
2058,livable still in dwelling / building,no,3 rooms,exterior structure,attorney,FS,lightning
2059,livable still in dwelling / building,no,3 rooms,exterior structure,public adjuster,FS,lightning
2060,livable still in dwelling / building,no,3 rooms,"exterior contents (grill, patio furniture, etc.)",no,CCC,lightning
2061,livable still in dwelling / building,no,3 rooms,"exterior contents (grill, patio furniture, etc.)",contractor,FS,lightning
2062,livable still in dwelling / building,no,3 rooms,"exterior contents (grill, patio furniture, etc.)",attorney,FS,lightning
2063,livable still in dwelling / building,no,3 rooms,"exterior contents (grill, patio furniture, etc.)",public adjuster,FS,lightning
2064,livable still in dwelling / building,no,4 rooms,no,no,CCC,lightning
2065,livable still in dwelling / building,no,4 rooms,no,contractor,FS,lightning
2066,livable still in dwelling / building,no,4 rooms,no,attorney,FS,lightning
2067,livable still in dwelling / building,no,4 rooms,no,public adjuster,FS,lightning
2068,livable still in dwelling / building,no,4 rooms,floors,no,CCC,lightning
2069,livable still in dwelling / building,no,4 rooms,floors,contractor,FS,lightning
2070,livable still in dwelling / building,no,4 rooms,floors,attorney,FS,lightning
2071,livable still in dwelling / building,no,4 rooms,floors,public adjuster,FS,lightning
2072,livable still in dwelling / building,no,4 rooms,walls,no,CCC,lightning
2073,livable still in dwelling / building,no,4 rooms,walls,contractor,FS,lightning
2074,livable still in dwelling / building,no,4 rooms,walls,attorney,FS,lightning
2075,livable still in dwelling / building,no,4 rooms,walls,public adjuster,FS,lightning
2076,livable still in dwelling / building,no,4 rooms,ceiling,no,CCC,lightning
2077,livable still in dwelling / building,no,4 rooms,ceiling,contractor,FS,lightning
2078,livable still in dwelling / building,no,4 rooms,ceiling,attorney,FS,lightning
2079,livable still in dwelling / building,no,4 rooms,ceiling,public adjuster,FS,lightning
2080,livable still in dwelling / building,no,4 rooms,cabinets,no,CCC,lightning
2081,livable still in dwelling / building,no,4 rooms,cabinets,contractor,FS,lightning
2082,livable still in dwelling / building,no,4 rooms,cabinets,attorney,FS,lightning
2083,livable still in dwelling / building,no,4 rooms,cabinets,public adjuster,FS,lightning
2084,livable still in dwelling / building,no,4 rooms,contents (personal belongings),no,CCC,lightning
2085,livable still in dwelling / building,no,4 rooms,contents (personal belongings),contractor,FS,lightning
2086,livable still in dwelling / building,no,4 rooms,contents (personal belongings),attorney,FS,lightning
2087,livable still in dwelling / building,no,4 rooms,contents (personal belongings),public adjuster,FS,lightning
2088,livable still in dwelling / building,no,4 rooms,roof,no,CCC,lightning
2089,livable still in dwelling / building,no,4 rooms,roof,contractor,FS,lightning
2090,livable still in dwelling / building,no,4 rooms,roof,attorney,FS,lightning
2091,livable still in dwelling / building,no,4 rooms,roof,public adjuster,FS,lightning
2092,livable still in dwelling / building,no,4 rooms,siding,no,CCC,lightning
2093,livable still in dwelling / building,no,4 rooms,siding,contractor,FS,lightning
2094,livable still in dwelling / building,no,4 rooms,siding,attorney,FS,lightning
2095,livable still in dwelling / building,no,4 rooms,siding,public adjuster,FS,lightning
2096,livable still in dwelling / building,no,4 rooms,hardscapes / fence,no,CCC,lightning
2097,livable still in dwelling / building,no,4 rooms,hardscapes / fence,contractor,FS,lightning
2098,livable still in dwelling / building,no,4 rooms,hardscapes / fence,attorney,FS,lightning
2099,livable still in dwelling / building,no,4 rooms,hardscapes / fence,public adjuster,FS,lightning
2100,livable still in dwelling / building,no,4 rooms,windows,no,CCC,lightning
2101,livable still in dwelling / building,no,4 rooms,windows,contractor,FS,lightning
2102,livable still in dwelling / building,no,4 rooms,windows,attorney,FS,lightning
2103,livable still in dwelling / building,no,4 rooms,windows,public adjuster,FS,lightning
2104,livable still in dwelling / building,no,4 rooms,exterior structure,no,CCC,lightning
2105,livable still in dwelling / building,no,4 rooms,exterior structure,contractor,FS,lightning
2106,livable still in dwelling / building,no,4 rooms,exterior structure,attorney,FS,lightning
2107,livable still in dwelling / building,no,4 rooms,exterior structure,public adjuster,FS,lightning
2108,livable still in dwelling / building,no,4 rooms,"exterior contents (grill, patio furniture, etc.)",no,CCC,lightning
2109,livable still in dwelling / building,no,4 rooms,"exterior contents (grill, patio furniture, etc.)",contractor,FS,lightning
2110,livable still in dwelling / building,no,4 rooms,"exterior contents (grill, patio furniture, etc.)",attorney,FS,lightning
2111,livable still in dwelling / building,no,4 rooms,"exterior contents (grill, patio furniture, etc.)",public adjuster,FS,lightning
2112,livable still in dwelling / building,no,5 or more rooms,no,no,CCC,lightning
2113,livable still in dwelling / building,no,5 or more rooms,no,contractor,FS,lightning
2114,livable still in dwelling / building,no,5 or more rooms,no,attorney,FS,lightning
2115,livable still in dwelling / building,no,5 or more rooms,no,public adjuster,FS,lightning
2116,livable still in dwelling / building,no,5 or more rooms,floors,no,CCC,lightning
2117,livable still in dwelling / building,no,5 or more rooms,floors,contractor,FS,lightning
2118,livable still in dwelling / building,no,5 or more rooms,floors,attorney,FS,lightning
2119,livable still in dwelling / building,no,5 or more rooms,floors,public adjuster,FS,lightning
2120,livable still in dwelling / building,no,5 or more rooms,walls,no,CCC,lightning
2121,livable still in dwelling / building,no,5 or more rooms,walls,contractor,FS,lightning
2122,livable still in dwelling / building,no,5 or more rooms,walls,attorney,FS,lightning
2123,livable still in dwelling / building,no,5 or more rooms,walls,public adjuster,FS,lightning
2124,livable still in dwelling / building,no,5 or more rooms,ceiling,no,CCC,lightning
2125,livable still in dwelling / building,no,5 or more rooms,ceiling,contractor,FS,lightning
2126,livable still in dwelling / building,no,5 or more rooms,ceiling,attorney,FS,lightning
2127,livable still in dwelling / building,no,5 or more rooms,ceiling,public adjuster,FS,lightning
2128,livable still in dwelling / building,no,5 or more rooms,cabinets,no,CCC,lightning
2129,livable still in dwelling / building,no,5 or more rooms,cabinets,contractor,FS,lightning
2130,livable still in dwelling / building,no,5 or more rooms,cabinets,attorney,FS,lightning
2131,livable still in dwelling / building,no,5 or more rooms,cabinets,public adjuster,FS,lightning
2132,livable still in dwelling / building,no,5 or more rooms,contents (personal belongings),no,CCC,lightning
2133,livable still in dwelling / building,no,5 or more rooms,contents (personal belongings),contractor,FS,lightning
2134,livable still in dwelling / building,no,5 or more rooms,contents (personal belongings),attorney,FS,lightning
2135,livable still in dwelling / building,no,5 or more rooms,contents (personal belongings),public adjuster,FS,lightning
2136,livable still in dwelling / building,no,5 or more rooms,roof,no,CCC,lightning
2137,livable still in dwelling / building,no,5 or more rooms,roof,contractor,FS,lightning
2138,livable still in dwelling / building,no,5 or more rooms,roof,attorney,FS,lightning
2139,livable still in dwelling / building,no,5 or more rooms,roof,public adjuster,FS,lightning
2140,livable still in dwelling / building,no,5 or more rooms,siding,no,CCC,lightning
2141,livable still in dwelling / building,no,5 or more rooms,siding,contractor,FS,lightning
2142,livable still in dwelling / building,no,5 or more rooms,siding,attorney,FS,lightning
2143,livable still in dwelling / building,no,5 or more rooms,siding,public adjuster,FS,lightning
2144,livable still in dwelling / building,no,5 or more rooms,hardscapes / fence,no,CCC,lightning
2145,livable still in dwelling / building,no,5 or more rooms,hardscapes / fence,contractor,FS,lightning
2146,livable still in dwelling / building,no,5 or more rooms,hardscapes / fence,attorney,FS,lightning
2147,livable still in dwelling / building,no,5 or more rooms,hardscapes / fence,public adjuster,FS,lightning
2148,livable still in dwelling / building,no,5 or more rooms,windows,no,CCC,lightning
2149,livable still in dwelling / building,no,5 or more rooms,windows,contractor,FS,lightning
2150,livable still in dwelling / building,no,5 or more rooms,windows,attorney,FS,lightning
2151,livable still in dwelling / building,no,5 or more rooms,windows,public adjuster,FS,lightning
2152,livable still in dwelling / building,no,5 or more rooms,exterior structure,no,CCC,lightning
2153,livable still in dwelling / building,no,5 or more rooms,exterior structure,contractor,FS,lightning
2154,livable still in dwelling / building,no,5 or more rooms,exterior structure,attorney,FS,lightning
2155,livable still in dwelling / building,no,5 or more rooms,exterior structure,public adjuster,FS,lightning
2156,livable still in dwelling / building,no,5 or more rooms,"exterior contents (grill, patio furniture, etc.)",no,CCC,lightning
2157,livable still in dwelling / building,no,5 or more rooms,"exterior contents (grill, patio furniture, etc.)",contractor,FS,lightning
2158,livable still in dwelling / building,no,5 or more rooms,"exterior contents (grill, patio furniture, etc.)",attorney,FS,lightning
